SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
104061,1000019,10100,13100,7286.22,7286.31,2242.36,7.29,0,0.001,0.30775,7A
104061,104061,10100,13100,1845.06,1845.05,528.51,1.85,0,0.001,0.28645,7D
104061,152468,10100,13100,16359.6,16359.7,3591.97,12.27,0,0.00075,0.219563,7B
104061,104061,10100,13100,1725.38,1725.43,531,1.73,0,0.001,0.30775,7A
202320,202320,10100,13100,82854.7,82854.7,23634.3,0,0,0,0.28525,6C
202320,1000019,10100,13100,26623.7,26623.8,7594.43,0,0,0,0.28525,6C
202320,202320,10100,13100,17913.7,17913.7,5109.88,0,0,0,0.28525,6C
202320,2364700,10100,13100,17415,17415,3758.37,0,0,0,0.215813,7E
202320,202320,10100,13100,5610.7,5610.7,1600.45,0,0,0,0.28525,6C
202320,202320,10100,13100,9847.71,9847.75,2809.07,0,0,0,0.28525,6C
112082,112082,20100,22900,371,371,75.59,0,0,0,0.20375,N5
115009,115009,30800,31500,18696.6,18696.6,3809.43,0,0,0,0.20375,N5
115009,115009,30800,31500,4.62,4.56,0.93,0,0,0,0.20375,N5
102982,102982,10100,13100,38666.8,38666.9,11899.7,38.67,0,0.001,0.30775,7A
102982,1000019,10100,13100,16494.3,16494.2,5076.1,16.49,0,0.001,0.30775,7A
102982,102982,10100,13100,5398.68,5398.78,1546.48,5.4,0,0.001,0.28645,7D
102982,404378,10100,13100,53679.9,53679.9,15376.6,53.68,0,0.001,0.28645,7D
102982,102982,10100,13100,1919.66,1919.64,590.77,1.92,0,0.001,0.30775,7A
260599,260541,10100,13100,15602.5,15602.5,3396.47,11.7,0,0.00075,0.217688,6B
260599,260401,10100,13100,22595.4,22595.5,4918.76,16.95,0,0.00075,0.217688,6B
260599,12203512,10100,13100,34702,34702,7554.19,26.03,0,0.00075,0.217688,6B
260599,260599,10100,13100,447.77,447.8,136.69,0.45,0,0.001,0.30525,6A
153443,153443,10100,13100,27136.6,27136.7,8351.3,27.14,0,0.001,0.30775,7A
153443,1000019,10100,13100,3839.05,3839.06,1181.47,3.84,0,0.001,0.30775,7A
153443,153443,10100,13100,6460.81,6460.83,1850.7,6.46,0,0.001,0.28645,7D
153443,100237,10100,13100,23515.5,23515.5,5163.12,17.64,0,0.00075,0.219563,7B
153443,100845,10100,13100,9817.03,9817,2155.45,7.36,0,0.00075,0.219563,7B
153443,102660,10100,13100,6134.88,6135,1347.02,4.6,0,0.00075,0.219563,7B
153443,153205,10100,13100,23382,23382,5133.81,17.54,0,0.00075,0.219563,7B
153443,153443,10100,13100,1374.05,1374.04,422.86,1.37,0,0.001,0.30775,7A
203105,203105,10100,13100,30013.7,30013.8,9161.71,30.01,0,0.001,0.30525,6A
203105,152331,10100,13100,1354.96,1355,294.97,1.02,0,0.00075,0.217688,6B
106483,106483,10100,13100,83972.8,83972.8,25842.6,83.97,0,0.001,0.30775,7A
106483,104188,10100,13100,33416.3,33416.4,10283.9,33.42,0,0.001,0.30775,7A
106483,116944,10100,13100,9834.22,9834.21,3026.48,9.83,0,0.001,0.30775,7A
106483,150319,10100,13100,30340.7,30340.8,9337.37,30.34,0,0.001,0.30775,7A
106483,150149,10100,13100,21949.2,21949.3,4819.24,16.46,0,0.00075,0.219563,7B
106483,151877,10100,13100,11995.2,11995.2,2633.71,9,0,0.00075,0.219563,7B
106483,108807,10100,13100,10000,10000,2195.63,7.5,0,0.00075,0.219563,7B
106483,113931,10100,13100,3615.62,3615.7,793.87,2.71,0,0.00075,0.219563,7B
106483,106483,10100,13100,-18147.6,-18147.5,-5584.9,-18.15,0,0.001,0.30775,7A
152471,102660,20100,22900,14066,14066,3246.61,0,0,0,0.230813,88
152471,100237,20100,22900,16882.4,16882.5,3896.69,0,0,0,0.230813,88
152471,152471,20100,22900,-377,-377.06,-116.04,0,0,0,0.30775,87
115009,115009,31200,31900,19958.9,19958.8,4066.62,0,0,0,0.20375,N5
115009,115009,31200,31900,4.87,4.86,0.99,0,0,0,0.20375,N5
104061,104061,10100,13100,9363.94,9363.97,2975.4,9.36,0,0.001,0.31775,8B
104061,1000019,10100,13100,7286.23,7286.29,2315.22,7.29,0,0.001,0.31775,8B
104061,104061,10100,13100,1845.06,1845.03,546.96,1.85,0,0.001,0.29645,8H
104061,104061,10100,13100,123.76,123.71,39.31,0.12,0,0.001,0.31775,8B
104061,104061,10100,13100,-9363.94,-9363.96,-2881.76,-9.36,0,0.001,0.30775,7A
104061,1000019,10100,13100,-7286.22,-7286.3,-2242.36,-7.29,0,0.001,0.30775,7A
104061,104061,10100,13100,-1845.06,-1845.03,-528.51,-1.85,0,0.001,0.28645,7D
104061,104061,10100,13100,-1725.38,-1725.43,-531,-1.73,0,0.001,0.30775,7A
104061,152468,10100,13100,16359.6,16359.7,3898.71,12.27,0,0.00075,0.238312,8D
104061,152468,10100,13100,-16359.6,-16359.7,-3591.97,-12.27,0,0.00075,0.219563,7B
101059,101059,20100,22900,14322.7,14322.7,4407.8,14.32,0,0.001,0.30775,7A
101059,101059,20100,22900,12217.9,12217.9,3760.06,12.22,0,0.001,0.30775,7A
101059,1000019,20100,22900,5000.05,5000.04,1538.76,5,0,0.001,0.30775,7A
101059,1000019,20100,22900,1654.25,1654.23,473.85,1.65,0,0.001,0.28645,7D
101059,12203512,20100,22900,23924,23924,5252.81,17.94,0,0.00075,0.219563,7B
101059,151725,20100,22900,3824.96,3824.86,839.8,2.87,0,0.00075,0.219563,7B
101059,152882,20100,22900,1644.88,1645,361.18,1.23,0,0.00075,0.219563,7B
101059,101059,20100,22900,8473.03,8473,1860.35,6.35,0,0.00075,0.219563,7B
101059,101059,20100,22900,60.77,60.73,18.69,0.06,0,0.001,0.30775,7A
202666,408736,20100,22800,11489.2,11489.3,3507.11,11.49,0,0.001,0.30525,6A
202666,202666,20100,22800,33776,33776,10310.1,33.78,0,0.001,0.30525,6A
202666,1000019,20100,22800,3180,3180,970.7,3.18,0,0.001,0.30525,6A
2003821,2003821,10100,13100,10722.4,10722.4,3273.02,10.72,0,0.001,0.30525,6A
2003821,1000019,10100,13100,4997.57,4997.61,1525.52,5,0,0.001,0.30525,6A
2003821,2003821,10100,13100,515.04,515.02,157.21,0.52,0,0.001,0.30525,6A
104061,104061,20100,22900,39063.6,39063.6,12412.5,39.06,0,0.001,0.31775,8B
153114,1000019,20100,22900,27481.9,27481.9,8457.57,0,0,0,0.30775,AR
153114,153114,20100,22900,248719,248719,76543.3,0,0,0,0.30775,AR
153114,153114,20100,22900,-0.05,-0.06,-0.02,0,0,0,0.30775,AR
153114,1000019,30100,33100,165,165,165,0,0,0,1,I8
204377,204377,20100,22800,1403.09,1403.04,428.28,1.4,0,0.001,0.30525,6A
204377,1000019,20100,22800,3933.74,3933.8,1200.79,3.93,0,0.001,0.30525,6A
204377,20596600,20100,22800,444.92,445,96.87,0.33,0,0.00075,0.217688,6B
204377,204377,20100,22800,-668.35,-668.34,-204.01,-0.67,0,0.001,0.30525,NA
113906,113906,20100,22800,11629.7,11629.8,3579.06,11.63,0,0.001,0.30775,7A
113906,1000019,20100,22800,13014.8,13014.7,4005.28,13.01,0,0.001,0.30775,7A
113906,113906,20100,22800,2154.18,2154.26,617.09,2.15,0,0.001,0.28645,7D
113906,113906,20100,22800,879.88,879.87,270.78,0.88,0,0.001,0.30775,7A
2003363,2003363,10100,13000,9299.04,9299.1,2838.55,9.3,0,0.001,0.30525,6A
2003363,2003363,10100,13000,380.73,380.67,116.2,0.38,0,0.001,0.30525,6A
109897,109897,20100,22800,798.66,798.76,229.84,0,0,0,0.28775,7F
109897,109897,20100,22800,10.27,10.29,2.96,0,0,0,0.28775,7F
153319,153319,10100,43000,161,161,161,0,0,0,1,I8
2003821,2003821,10100,13000,-10722.4,-10722.4,-3273.02,-10.72,0,0.001,0.30525,6A
2003821,1000019,10100,13000,-4997.57,-4997.61,-1525.52,-5,0,0.001,0.30525,6A
2003821,2003821,10100,13000,-515.04,-515.02,-157.21,-0.52,0,0.001,0.30525,6A
2003821,2003821,10100,13000,10722.4,10722.4,3273.02,10.72,0,0.001,0.30525,6A
2003821,1000019,10100,13000,4997.57,4997.61,1525.52,5,0,0.001,0.30525,6A
2003821,2003821,10100,13000,515.04,515.02,157.21,0.52,0,0.001,0.30525,6A
260541,260541,20100,22800,1612.46,6450,351.02,1.21,0,0.00075,0.217688,6B
260541,260541,20100,22800,111.09,444.32,24.18,0.08,0,0.00075,0.217688,6B
112082,112082,40100,63000,414,414,414,0,0,0,1,I8
202320,202320,20100,22800,81215.7,81215.6,23166.8,0,0,0,0.28525,6C
